mode,capacity_policy,container,batched_tasks,compatible_agents,trips_per_compatible_agent,mass_tons
source_container_dest,max,A,11303,432,26.164,4302.662
source_container_dest,max,B,3616,299,12.094,2710.106
source_container_dest,max,C,2312,194,11.918,3763.97
source_container_dest,max,D,3555,116,30.647,954.612
source_container_dest,p75,A,11305,432,26.169,4302.662
source_container_dest,p75,B,3616,299,12.094,2710.106
source_container_dest,p75,C,2315,194,11.933,3763.97
source_container_dest,p75,D,3556,116,30.655,954.612
source_container_dest,median,A,11307,432,26.174,4302.662
source_container_dest,median,B,3616,299,12.094,2710.106
source_container_dest,median,C,2321,194,11.964,3763.97
source_container_dest,median,D,3557,116,30.664,954.612
source_container,max,A,6306,432,14.597,4302.662
source_container,max,B,2820,299,9.431,2710.106
source_container,max,C,1965,194,10.129,3763.97
source_container,max,D,1816,116,15.655,954.612
source_container,p75,A,6309,432,14.604,4302.662
source_container,p75,B,2820,299,9.431,2710.106
source_container,p75,C,1968,194,10.144,3763.97
source_container,p75,D,1817,116,15.664,954.612
source_container,median,A,6312,432,14.611,4302.662
source_container,median,B,2821,299,9.435,2710.106
source_container,median,C,1977,194,10.191,3763.97
source_container,median,D,1818,116,15.672,954.612
