agent_id,vehicle_type,depot_node,tasks_count,trips_count,mass_tons,pickup_km,unload_km,return_km,total_km,total_hours,km_limit,hour_limit,km_ok,hours_ok,assigned_task_ids
AGENT_00051,VT_AB,1398004896,26,4,7.705,54.932,26.29,12.818,94.04,9.718,140.0,10.0,True,True,"['TASK_00024', 'TASK_00020', 'TASK_00069', 'TASK_00049', 'TASK_00019', 'TASK_00058', 'TASK_00032', 'TASK_00002', 'TASK_00010', 'TASK_00001', 'TASK_00025', 'TASK_00043', 'TASK_00009', 'TASK_00054', 'TASK_00053', 'TASK_00015', 'TASK_00068', 'TASK_00039', 'TASK_00073', 'TASK_00046', 'TASK_00018', 'TASK_00063', 'TASK_00059', 'TASK_00079', 'TASK_00012', 'TASK_00041']"
AGENT_00030,VT_A,1398004896,0,0,0.0,0.0,0.0,0.0,0.0,0.0,130.0,10.0,True,True,[]
AGENT_00061,VT_AB,1398004896,0,0,0.0,0.0,0.0,0.0,0.0,0.0,140.0,10.0,True,True,[]
AGENT_00158,VT_C,1398004896,1,1,0.92,8.077,5.507,12.818,26.402,1.55,140.0,10.0,True,True,['TASK_00044']
AGENT_00054,VT_AB,1398004896,0,0,0.0,0.0,0.0,0.0,0.0,0.0,140.0,10.0,True,True,[]
AGENT_00055,VT_AB,1398004896,0,0,0.0,0.0,0.0,0.0,0.0,0.0,140.0,10.0,True,True,[]
AGENT_00057,VT_AB,1398004896,0,0,0.0,0.0,0.0,0.0,0.0,0.0,140.0,10.0,True,True,[]
AGENT_00020,VT_A,1398004896,0,0,0.0,0.0,0.0,0.0,0.0,0.0,130.0,10.0,True,True,[]
AGENT_00056,VT_AB,1398004896,0,0,0.0,0.0,0.0,0.0,0.0,0.0,140.0,10.0,True,True,[]
AGENT_00048,VT_AB,1398004896,0,0,0.0,0.0,0.0,0.0,0.0,0.0,140.0,10.0,True,True,[]
AGENT_00050,VT_AB,1398004896,0,0,0.0,0.0,0.0,0.0,0.0,0.0,140.0,10.0,True,True,[]
AGENT_00058,VT_AB,1398004896,0,0,0.0,0.0,0.0,0.0,0.0,0.0,140.0,10.0,True,True,[]
AGENT_00052,VT_AB,1398004896,0,0,0.0,0.0,0.0,0.0,0.0,0.0,140.0,10.0,True,True,[]
AGENT_00053,VT_AB,1398004896,0,0,0.0,0.0,0.0,0.0,0.0,0.0,140.0,10.0,True,True,[]
AGENT_00060,VT_AB,1398004896,0,0,0.0,0.0,0.0,0.0,0.0,0.0,140.0,10.0,True,True,[]
AGENT_00059,VT_AB,1398004896,0,0,0.0,0.0,0.0,0.0,0.0,0.0,140.0,10.0,True,True,[]
AGENT_00033,VT_AB,1398004896,0,0,0.0,0.0,0.0,0.0,0.0,0.0,140.0,10.0,True,True,[]
AGENT_00034,VT_AB,1398004896,0,0,0.0,0.0,0.0,0.0,0.0,0.0,140.0,10.0,True,True,[]
AGENT_00035,VT_AB,1398004896,0,0,0.0,0.0,0.0,0.0,0.0,0.0,140.0,10.0,True,True,[]
AGENT_00036,VT_AB,1398004896,0,0,0.0,0.0,0.0,0.0,0.0,0.0,140.0,10.0,True,True,[]
AGENT_00037,VT_AB,1398004896,0,0,0.0,0.0,0.0,0.0,0.0,0.0,140.0,10.0,True,True,[]
AGENT_00038,VT_AB,1398004896,0,0,0.0,0.0,0.0,0.0,0.0,0.0,140.0,10.0,True,True,[]
AGENT_00039,VT_AB,1398004896,0,0,0.0,0.0,0.0,0.0,0.0,0.0,140.0,10.0,True,True,[]
AGENT_00040,VT_AB,1398004896,0,0,0.0,0.0,0.0,0.0,0.0,0.0,140.0,10.0,True,True,[]
AGENT_00041,VT_AB,1398004896,0,0,0.0,0.0,0.0,0.0,0.0,0.0,140.0,10.0,True,True,[]
AGENT_00042,VT_AB,1398004896,0,0,0.0,0.0,0.0,0.0,0.0,0.0,140.0,10.0,True,True,[]
AGENT_00043,VT_AB,1398004896,0,0,0.0,0.0,0.0,0.0,0.0,0.0,140.0,10.0,True,True,[]
AGENT_00044,VT_AB,1398004896,0,0,0.0,0.0,0.0,0.0,0.0,0.0,140.0,10.0,True,True,[]
AGENT_00045,VT_AB,1398004896,0,0,0.0,0.0,0.0,0.0,0.0,0.0,140.0,10.0,True,True,[]
AGENT_00046,VT_AB,1398004896,0,0,0.0,0.0,0.0,0.0,0.0,0.0,140.0,10.0,True,True,[]
AGENT_00062,VT_AB,1398004896,0,0,0.0,0.0,0.0,0.0,0.0,0.0,140.0,10.0,True,True,[]
AGENT_00001,VT_A,1398004896,0,0,0.0,0.0,0.0,0.0,0.0,0.0,130.0,10.0,True,True,[]
AGENT_00004,VT_A,1398004896,0,0,0.0,0.0,0.0,0.0,0.0,0.0,130.0,10.0,True,True,[]
AGENT_00005,VT_A,1398004896,0,0,0.0,0.0,0.0,0.0,0.0,0.0,130.0,10.0,True,True,[]
AGENT_00049,VT_AB,1398004896,0,0,0.0,0.0,0.0,0.0,0.0,0.0,140.0,10.0,True,True,[]
AGENT_00006,VT_A,1398004896,0,0,0.0,0.0,0.0,0.0,0.0,0.0,130.0,10.0,True,True,[]
AGENT_00002,VT_A,1398004896,0,0,0.0,0.0,0.0,0.0,0.0,0.0,130.0,10.0,True,True,[]
AGENT_00028,VT_A,1398004896,0,0,0.0,0.0,0.0,0.0,0.0,0.0,130.0,10.0,True,True,[]
AGENT_00029,VT_A,1398004896,0,0,0.0,0.0,0.0,0.0,0.0,0.0,130.0,10.0,True,True,[]
AGENT_00047,VT_AB,1398004896,0,0,0.0,0.0,0.0,0.0,0.0,0.0,140.0,10.0,True,True,[]
AGENT_00027,VT_A,1398004896,0,0,0.0,0.0,0.0,0.0,0.0,0.0,130.0,10.0,True,True,[]
AGENT_00125,VT_AD,1398004896,5,1,1.335,14.731,1.664,14.324,30.718,2.996,120.0,10.0,True,True,"['TASK_00109', 'TASK_00091', 'TASK_00124', 'TASK_00119', 'TASK_00117']"
AGENT_00012,VT_A,1398004896,0,0,0.0,0.0,0.0,0.0,0.0,0.0,130.0,10.0,True,True,[]
AGENT_00014,VT_A,1398004896,0,0,0.0,0.0,0.0,0.0,0.0,0.0,130.0,10.0,True,True,[]
AGENT_00015,VT_A,1398004896,0,0,0.0,0.0,0.0,0.0,0.0,0.0,130.0,10.0,True,True,[]
AGENT_00022,VT_A,1398004896,0,0,0.0,0.0,0.0,0.0,0.0,0.0,130.0,10.0,True,True,[]
AGENT_00023,VT_A,1398004896,0,0,0.0,0.0,0.0,0.0,0.0,0.0,130.0,10.0,True,True,[]
AGENT_00024,VT_A,1398004896,0,0,0.0,0.0,0.0,0.0,0.0,0.0,130.0,10.0,True,True,[]
AGENT_00025,VT_A,1398004896,0,0,0.0,0.0,0.0,0.0,0.0,0.0,130.0,10.0,True,True,[]
AGENT_00031,VT_A,1398004896,0,0,0.0,0.0,0.0,0.0,0.0,0.0,130.0,10.0,True,True,[]
AGENT_00032,VT_A,1398004896,0,0,0.0,0.0,0.0,0.0,0.0,0.0,130.0,10.0,True,True,[]
AGENT_00026,VT_A,1398004896,0,0,0.0,0.0,0.0,0.0,0.0,0.0,130.0,10.0,True,True,[]
AGENT_00011,VT_A,1398004896,0,0,0.0,0.0,0.0,0.0,0.0,0.0,130.0,10.0,True,True,[]
