task_pct,tasks_total,assigned_tasks,unassigned_tasks,runtime_sec,total_mass_tons,hauled_mass_tons,mass_coverage_pct,feasible
1,1240,1240,0,1.032,131.508286,131.508286,100.0,True
6,7439,5829,1610,3.397,836.6297940000001,740.4579650000001,88.50485248198082,False
11,13638,9622,4016,4.934,1497.276807,1187.8022780000001,79.33084065997959,False
16,19837,13471,6366,6.518,2142.7763370000002,1590.089176,74.2069598465983,False
21,26036,16597,9439,7.663,2794.026833,1917.572865,68.6311542305793,False
26,32235,19518,12717,8.853,3428.638798,2198.462838,64.1205728431473,False
31,38434,21800,16634,9.739,4035.704725,2390.478987,59.23324796761487,False
36,44633,23852,20781,10.457,4655.733719,2533.029005,54.406655489396556,False
41,50831,25551,25280,11.298,5249.262096,2635.105967,50.199550314090466,False
46,57030,26535,30495,12.105,5830.647329,2715.19534,46.56764826943626,False
51,63229,27552,35677,13.142,6412.376178,2783.730625,43.411842158459216,False
56,69428,28304,41124,14.213,6987.899997,2819.684517,40.35095691424504,False
61,75627,28693,46934,14.93,7571.50186,2895.4035240000003,38.240808462272504,False
66,81826,29147,52679,16.815,8107.796697,2945.014618,36.323242035529795,False
71,88025,29513,58512,18.273,8639.582341,2987.493379,34.5791412256418,False
76,94224,29795,64429,19.241,9139.962403,3016.673127,33.005312210144766,False
81,100423,29929,70494,20.774,9662.243383,3030.76982,31.36714425277689,False
86,106622,30106,76516,22.708,10157.31964,3054.0444350000002,30.06742470693775,False
91,112820,30088,82732,23.639,10722.69835,3056.491165,28.504869438950504,False
96,119019,30228,88791,24.795,11295.523096,3060.8070740000003,27.09752393037823,False
