task_pct,status,feasible,all_checks_ok,assigned_tasks,unassigned_tasks,runtime_sec,total_km,transport_work_ton_km,coverage_pct
1,ok,True,True,1240,0,1.023,54829.789,2392.824,100.0
6,ok,False,False,5829,1610,3.421,114610.426,13212.606,78.35730608952817
11,ok,False,False,9622,4016,4.937,131246.618,19770.905,70.55286698929461
16,ok,False,False,13471,6366,6.684,145075.513,24882.947,67.90845389927912
21,ok,False,False,16597,9439,7.788,147610.852,28278.567,63.74635120602243
26,ok,False,False,19518,12717,9.011,150375.806,30898.278,60.549092601209864
31,ok,False,False,21800,16634,9.706,142620.571,32621.793,56.720611958162046
36,ok,False,False,23852,20781,10.508,133177.289,33878.402,53.44027961373872
41,ok,False,False,25551,25280,11.085,124980.447,34387.812,50.266569613031415
46,ok,False,False,26535,30495,12.026,121326.78,34768.326,46.52814308258811
51,ok,False,False,27552,35677,13.051,117557.284,35136.293,43.57494187793576
56,ok,False,False,28304,41124,14.231,115139.839,35033.105,40.76741372356974
61,ok,False,False,28693,46934,15.316,114047.929,35934.695,37.940153648829124
66,ok,False,False,29147,52679,16.473,113099.647,36780.143,35.62070735463056
71,ok,False,False,29513,58512,17.962,111304.336,37474.46,33.52797500710025
76,ok,False,False,29795,64429,19.569,110177.651,37911.659,31.621455255561216
81,ok,False,False,29929,70494,20.892,109631.134,38261.091,29.80293359091045
86,ok,False,False,30106,76516,21.763,109313.758,38521.024,28.23619890829285
91,ok,False,False,30088,82732,23.694,109112.314,38840.121,26.669030313774154
96,ok,False,False,30228,88791,24.618,108764.46,38912.855,25.39762558919164
