task_pct,dataset_file,status,feasible,all_checks_ok,assigned_tasks,assigned_trips,unassigned_tasks,active_agents,total_km,transport_work_ton_km,runtime_sec,solver_error
1,dataset_real_spb_clean_full_split_by_containers_all_agents_with_distances_t001_a100.json,ok,True,True,1240,913,0,596,54829.789,2392.824,1.021,
6,dataset_real_spb_clean_full_split_by_containers_all_agents_with_distances_t006_a100.json,ok,False,False,5829,2290,1610,808,114610.426,13212.606,3.491,
11,dataset_real_spb_clean_full_split_by_containers_all_agents_with_distances_t011_a100.json,ok,False,False,9622,2953,4016,824,131246.618,19770.905,5.028,
16,dataset_real_spb_clean_full_split_by_containers_all_agents_with_distances_t016_a100.json,ok,False,False,13471,3529,6366,825,145075.513,24882.947,6.755,
21,dataset_real_spb_clean_full_split_by_containers_all_agents_with_distances_t021_a100.json,ok,False,False,16597,3718,9439,824,147610.852,28278.567,7.703,
26,dataset_real_spb_clean_full_split_by_containers_all_agents_with_distances_t026_a100.json,ok,False,False,19518,3777,12717,825,150375.806,30898.278,8.862,
31,dataset_real_spb_clean_full_split_by_containers_all_agents_with_distances_t031_a100.json,ok,False,False,21800,3539,16634,825,142620.571,32621.793,9.636,
36,dataset_real_spb_clean_full_split_by_containers_all_agents_with_distances_t036_a100.json,ok,False,False,23852,3191,20781,825,133177.289,33878.402,10.402,
41,dataset_real_spb_clean_full_split_by_containers_all_agents_with_distances_t041_a100.json,ok,False,False,25551,2879,25280,825,124980.447,34387.812,11.144,
46,dataset_real_spb_clean_full_split_by_containers_all_agents_with_distances_t046_a100.json,ok,False,False,26535,2752,30495,825,121326.78,34768.326,11.927,
51,dataset_real_spb_clean_full_split_by_containers_all_agents_with_distances_t051_a100.json,ok,False,False,27552,2651,35677,825,117557.284,35136.293,12.99,
56,dataset_real_spb_clean_full_split_by_containers_all_agents_with_distances_t056_a100.json,ok,False,False,28304,2583,41124,825,115139.839,35033.105,14.2,
61,dataset_real_spb_clean_full_split_by_containers_all_agents_with_distances_t061_a100.json,ok,False,False,28693,2571,46934,825,114047.929,35934.695,15.327,
66,dataset_real_spb_clean_full_split_by_containers_all_agents_with_distances_t066_a100.json,ok,False,False,29147,2545,52679,825,113099.647,36780.143,16.946,
71,dataset_real_spb_clean_full_split_by_containers_all_agents_with_distances_t071_a100.json,ok,False,False,29513,2526,58512,825,111304.336,37474.46,18.058,
76,dataset_real_spb_clean_full_split_by_containers_all_agents_with_distances_t076_a100.json,ok,False,False,29795,2493,64429,825,110177.651,37911.659,19.427,
81,dataset_real_spb_clean_full_split_by_containers_all_agents_with_distances_t081_a100.json,ok,False,False,29929,2488,70494,825,109631.134,38261.091,20.648,
86,dataset_real_spb_clean_full_split_by_containers_all_agents_with_distances_t086_a100.json,ok,False,False,30106,2477,76516,825,109313.758,38521.024,22.231,
91,dataset_real_spb_clean_full_split_by_containers_all_agents_with_distances_t091_a100.json,ok,False,False,30088,2437,82732,825,109112.314,38840.121,23.593,
96,dataset_real_spb_clean_full_split_by_containers_all_agents_with_distances_t096_a100.json,ok,False,False,30228,2434,88791,825,108764.46,38912.855,24.922,
