task_pct,status,feasible,assigned_tasks,unassigned_tasks,coverage_pct,runtime_sec
1,ok,True,1240,0,100.0,1.021
6,ok,False,5829,1610,78.35730608952817,3.491
11,ok,False,9622,4016,70.55286698929461,5.028
16,ok,False,13471,6366,67.90845389927912,6.755
21,ok,False,16597,9439,63.74635120602243,7.703
26,ok,False,19518,12717,60.549092601209864,8.862
31,ok,False,21800,16634,56.720611958162046,9.636
36,ok,False,23852,20781,53.44027961373872,10.402
41,ok,False,25551,25280,50.266569613031415,11.144
46,ok,False,26535,30495,46.52814308258811,11.927
51,ok,False,27552,35677,43.57494187793576,12.99
56,ok,False,28304,41124,40.76741372356974,14.2
61,ok,False,28693,46934,37.940153648829124,15.327
66,ok,False,29147,52679,35.62070735463056,16.946
71,ok,False,29513,58512,33.52797500710025,18.058
76,ok,False,29795,64429,31.621455255561216,19.427
81,ok,False,29929,70494,29.80293359091045,20.648
86,ok,False,30106,76516,28.23619890829285,22.231
91,ok,False,30088,82732,26.669030313774154,23.593
96,ok,False,30228,88791,25.39762558919164,24.922
