agent_id,vehicle_type,depot_node,depot_to_source_km,source_to_destination_km,destination_to_depot_km,cycle_km,cycle_hours,km_limit,hours_limit,km_feasible,hours_feasible,fully_feasible_single_task
AGENT_00524,VT_ABD,1746883131,20.2739,62.4305,50.6116,133.316,6.3798,120.0,10.0,False,True,False
AGENT_00539,VT_ABD,1746883131,20.2739,62.4305,50.6116,133.316,6.3798,120.0,10.0,False,True,False
AGENT_00542,VT_ABD,1746883131,20.2739,62.4305,50.6116,133.316,6.3798,120.0,10.0,False,True,False
AGENT_00548,VT_ABD,1746883131,20.2739,62.4305,50.6116,133.316,6.3798,120.0,10.0,False,True,False
AGENT_00552,VT_ABD,1746883131,20.2739,62.4305,50.6116,133.316,6.3798,120.0,10.0,False,True,False
AGENT_00554,VT_AD,1746883131,20.2739,62.4305,50.6116,133.316,6.3798,120.0,10.0,False,True,False
AGENT_00603,VT_CD,1746883131,20.2739,62.4305,50.6116,133.316,6.6684,120.0,10.0,False,True,False
AGENT_00606,VT_CD,1746883131,20.2739,62.4305,50.6116,133.316,6.6684,120.0,10.0,False,True,False
AGENT_00133,VT_AD,230361,10.3824,62.4305,61.549,134.3619,6.4274,120.0,10.0,False,True,False
AGENT_00142,VT_AD,230361,10.3824,62.4305,61.549,134.3619,6.4274,120.0,10.0,False,True,False
AGENT_00147,VT_AD,230361,10.3824,62.4305,61.549,134.3619,6.4274,120.0,10.0,False,True,False
AGENT_00157,VT_AD,230361,10.3824,62.4305,61.549,134.3619,6.4274,120.0,10.0,False,True,False
AGENT_00237,VT_CD,230361,10.3824,62.4305,61.549,134.3619,6.7182,120.0,10.0,False,True,False
AGENT_00238,VT_CD,230361,10.3824,62.4305,61.549,134.3619,6.7182,120.0,10.0,False,True,False
AGENT_00239,VT_CD,230361,10.3824,62.4305,61.549,134.3619,6.7182,120.0,10.0,False,True,False
AGENT_00618,VT_AD,230361,10.3824,62.4305,61.549,134.3619,6.4274,120.0,10.0,False,True,False
AGENT_00277,VT_AD,1533456031,9.9993,62.4305,71.8279,144.2577,6.8772,120.0,10.0,False,True,False
AGENT_00293,VT_CD,1533456031,9.9993,62.4305,71.8279,144.2577,7.1894,120.0,10.0,False,True,False
